Wind Speed (m/s),Direction,power
4.92856785,E,0.888173847
3.249817622,E,0.970384319
3.371332234,E,0.163056679
8.035955855,E,1.347165248
9.437604825,E,3.241054843
6.08071934,E,2.251264053
6.232531403,E,1.707176612
5.178696463,E,0.039762194
6.297900893,E,0.145097213
4.594740006,E,1.62228314
3.835065664,E,0.497299626
5.10730234,E,1.279283805
3.723319625,E,0.576347145
4.994922348,E,0.806845778
5.949329906,E,1.022081523
10.14328221,N,9.11200922
9.26504658,N,7.68837888
9.773232467,N,8.69140516
9.358413286,N,8.53118409
9.083610431,N,4.865871824
11.32896665,N,10.22206149
4.884982073,N,0.250330637
11.45745248,N,10.17547321
10.16063433,N,3.058510615
8.492221375,N,1.171933852
7.616618079,N,0.066249456
8.821574436,N,1.19364789
7.415396419,N,1.166467659
3.817015677,N,2.370914488
8.776446127,NE,1.722034518
3.533818282,NE,0.365590213
4.030880491,NE,1.282388977
6.718809487,NE,2.408053092
6.780076174,NE,2.401496594
6.793144717,NE,2.413363383
6.95626584,NE,2.634356334
7.103194318,NE,2.691790481
7.128685094,NE,3.0474074
7.153366,NE,3.409442287
7.261575949,NE,2.882312584
7.856046614,NE,3.602964823
7.869253134,NE,4.944996459
7.950028999,NE,4.281986608
7.984599037,NE,4.055590722
8.109532076,NE,1.430837198
8.478272743,NE,7.354797409
8.550833831,NE,0.696906218
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
3.181935759,S,0.620162988
3.542391127,S,0.295879257
4.090141479,S,1.608257351
4.195635657,S,1.277035037
4.369004465,S,2.834715364
4.443585785,S,1.233376832
6.650189284,S,4.192450225
7.079466273,S,4.341324583
7.419905199,S,5.618044571
7.608837348,S,5.967306227
8.731717004,S,6.179075314
9.265942715,S,6.865924775
9.953818818,S,7.269886505
9.999656859,S,7.105655005
10.56012972,S,8.122221159
10.94782188,S,8.897688889
11.01555616,S,9.623183059
11.1196474,S,9.218653014
11.36563963,S,8.798844538
12.00054778,S,8.321292213
12.2631431,S,10.14161549
13.32653776,S,11.21114138
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
6.628722938,SE,2.431094035
2.733386936,SE,0.266371103
3.121433587,SE,0.287702131
4.303034091,SE,0.359614013
5.248890498,SE,2.093625207
5.825140244,SE,4.226720419
8.857810487,SE,5.949867154
14.84411477,SE,7.149724673
8.022974677,SW,4.877855646
2.199308287,SW,0.062073351
2.966225939,SW,2.2137915
3.05944005,SW,0.277756198
4.320662864,SW,2.379053694
6.281332894,SW,3.771924009
6.550202532,SW,5.231032013
7.335240619,SW,5.535592694
9.721435402,SW,5.69379385
11.56459819,W,4.77373189
3.891125782,W,1.04037399
5.484460289,W,1.570901545
7.685666091,W,2.60243898
7.886668776,W,2.148390072
10.58730043,W,3.59072978
11.54485693,W,4.569503395
11.60196292,W,5.258341089
14.05928408,W,6.763326892
12.1821699,NW,1.028070294
11.00159411,NW,1.596199598
6.227729735,NW,0.223327361
8.654518233,NW,0.792581143
5.86930168,NW,0.543042804
8.470168718,NW,1.660222569
8.271178662,NW,2.590522639
8.678386947,NW,0.976287383
8.389405638,NW,2.18426571
